City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,quelimane,-17.8786,36.8883,26.97,65,40,3.09,MZ,2023-03-29 15:37:03
1,saskylakh,71.9167,114.0833,-26.57,100,96,2.13,RU,2023-03-29 15:39:07
2,avarua,-21.2078,-159.775,25.03,94,20,4.63,CK,2023-03-29 15:37:03
3,saint anthony,45.0205,-93.218,-6.22,59,0,3.09,US,2023-03-29 15:37:04
4,east london,-33.0153,27.9116,20.52,52,0,7.2,ZA,2023-03-29 15:39:08
5,ushuaia,-54.8,-68.3,3.81,70,75,7.72,AR,2023-03-29 15:39:09
6,hobart,-42.8794,147.3294,14.03,81,100,7.2,AU,2023-03-29 15:34:37
7,port elizabeth,-33.918,25.5701,19.5,61,0,8.75,ZA,2023-03-29 15:39:09
8,marzuq,14.4,46.4667,24.53,62,84,1.59,YE,2023-03-29 15:39:10
9,jamestown,42.097,-79.2353,7.53,56,92,4.92,US,2023-03-29 15:37:00
10,provideniya,64.3833,-173.3,-6.69,94,100,6.98,RU,2023-03-29 15:27:27
11,mogadishu,2.0371,45.3438,28.93,79,20,5.14,SO,2023-03-29 15:38:31
12,dubbo,-32.25,148.6167,14.07,82,1,3.09,AU,2023-03-29 15:29:01
13,khuzhir,53.1939,107.3397,1.07,84,90,2.72,RU,2023-03-29 15:39:11
14,pisco,-13.7,-76.2167,26.03,73,40,3.09,PE,2023-03-29 15:39:12
15,rikitea,-23.1203,-134.9692,26.3,74,97,2.4,PF,2023-03-29 15:39:12
16,bandarbeyla,9.4942,50.8122,27.83,71,98,3.57,SO,2023-03-29 15:39:12
17,arraial do cabo,-22.9661,-42.0278,29.98,65,75,8.23,BR,2023-03-29 15:37:24
18,tebingtinggi,3.3285,99.1625,24.2,94,9,1.63,ID,2023-03-29 15:39:13
19,carndonagh,55.25,-7.2667,15.79,81,99,7.19,IE,2023-03-29 15:39:13
20,oranjemund,-28.55,16.4333,17.44,68,0,11.99,,2023-03-29 15:39:14
21,saint-philippe,-21.3585,55.7679,26.77,80,34,4.2,RE,2023-03-29 15:39:14
22,luganville,-15.5333,167.1667,25.24,84,100,0.94,VU,2023-03-29 15:39:15
23,hithadhoo,-0.6,73.0833,28.39,74,33,2.9,MV,2023-03-29 15:39:15
24,ahipara,-35.1667,173.1667,10.54,76,15,2.03,NZ,2023-03-29 15:39:16
25,pevek,69.7008,170.3133,-22.59,100,61,0.99,RU,2023-03-29 15:39:16
26,ketchikan,55.3422,-131.6461,3.99,75,20,3.6,US,2023-03-29 15:39:16
27,hermanus,-34.4187,19.2345,18.22,69,94,2.54,ZA,2023-03-29 15:39:17
28,conakry,9.538,-13.6773,32.04,55,0,5.14,GN,2023-03-29 15:39:17
29,puerto ayora,-0.7393,-90.3518,29.98,87,56,2.24,EC,2023-03-29 15:39:17
30,kisangani,0.5167,25.2,29.15,54,95,1.69,CD,2023-03-29 15:39:17
31,asau,46.4333,26.4,2.51,57,100,2.43,RO,2023-03-29 15:39:18
32,albany,42.6001,-73.9662,8.9,47,44,0.89,US,2023-03-29 15:34:33
33,saint-augustin,51.226,-58.6502,1.1,72,100,1.32,CA,2023-03-29 15:39:18
34,qaanaaq,77.484,-69.3632,-22.3,71,92,2.48,GL,2023-03-29 15:39:18
35,srednekolymsk,67.45,153.6833,-22.38,99,100,0.62,RU,2023-03-29 15:39:19
36,resistencia,-27.4606,-58.9839,35.05,55,20,6.17,AR,2023-03-29 15:35:11
37,tiksi,71.6872,128.8694,-29.23,99,90,3.16,RU,2023-03-29 15:31:37
38,port-gentil,-0.7193,8.7815,25.98,89,100,7.72,GA,2023-03-29 15:39:19
39,punta arenas,-53.15,-70.9167,5.06,65,40,6.69,CL,2023-03-29 15:38:53
40,lata,40.1629,-8.3327,24.95,40,98,5.67,PT,2023-03-29 15:29:56
41,namatanai,-3.6667,152.4333,25.85,83,99,1.51,PG,2023-03-29 15:39:20
42,bredasdorp,-34.5322,20.0403,17.26,56,86,5.52,ZA,2023-03-29 15:39:21
43,polignano a mare,40.9959,17.2159,16.78,51,100,4.47,IT,2023-03-29 15:39:21
44,oriximina,-1.7656,-55.8661,28.18,78,60,1.29,BR,2023-03-29 15:39:21
45,reconquista,-29.15,-59.65,35.61,36,55,4.42,AR,2023-03-29 15:39:22
46,cabedelo,-6.9811,-34.8339,28.37,70,27,4.92,BR,2023-03-29 15:39:22
47,henties bay,-22.116,14.2845,17.76,78,6,6.04,,2023-03-29 15:39:22
48,karpathos,35.507,27.2132,12.98,47,40,12.86,GR,2023-03-29 15:39:22
49,faya,18.3851,42.4509,21.06,47,12,3.17,SA,2023-03-29 15:30:22
50,pangody,65.85,74.4859,-16.24,97,95,4.28,RU,2023-03-29 15:39:23
51,broome,42.2506,-75.833,8.72,57,0,3.6,US,2023-03-29 15:39:23
52,mount isa,-20.7333,139.5,22.87,83,25,0.0,AU,2023-03-29 15:29:45
53,new norfolk,-42.7826,147.0587,13.84,81,100,1.79,AU,2023-03-29 15:39:24
54,hilo,19.7297,-155.09,22.93,89,100,3.09,US,2023-03-29 15:38:23
55,gazli,40.1333,63.45,23.15,24,29,4.51,UZ,2023-03-29 15:39:24
56,senador guiomard,-10.1522,-67.7392,29.86,62,90,1.76,BR,2023-03-29 15:39:24
57,mandan,46.8267,-100.8896,-8.91,86,0,0.89,US,2023-03-29 15:39:24
58,clyde river,70.4692,-68.5914,-20.87,84,40,0.0,CA,2023-03-29 15:39:25
59,cape town,-33.9258,18.4232,19.51,52,20,8.23,ZA,2023-03-29 15:35:00
60,kirakira,-10.4544,161.9205,26.16,86,100,1.32,SB,2023-03-29 15:39:25
61,mareeba,-17.0,145.4333,21.4,99,74,0.47,AU,2023-03-29 15:39:26
62,bose,45.4612,8.0137,17.91,37,12,1.58,IT,2023-03-29 15:39:26
63,palana,59.1167,159.9667,-7.68,91,99,7.56,RU,2023-03-29 15:39:26
64,marsa matruh,31.3525,27.2453,16.11,48,40,7.2,EG,2023-03-29 15:39:27
65,samarai,-10.6167,150.6667,27.8,75,17,2.39,PG,2023-03-29 15:39:27
66,iqaluit,63.7506,-68.5145,-17.15,77,100,10.29,CA,2023-03-29 15:39:27
67,lasa,46.6166,10.7002,12.42,96,100,1.95,IT,2023-03-29 15:35:02
68,tuktoyaktuk,69.4541,-133.0374,-23.0,84,20,2.57,CA,2023-03-29 15:39:27
69,mahebourg,-20.4081,57.7,27.16,78,75,4.12,MU,2023-03-29 15:39:28
70,oak harbor,48.2932,-122.6432,10.64,78,20,1.54,US,2023-03-29 15:39:28
71,daru,-9.0763,143.2092,25.78,88,80,2.75,PG,2023-03-29 15:39:28
